Id,Name,Description,Aliases
B1BA5D04-D87C-40A4-81D5-A0058A3DC279,linkedin,linkedin,NULL
96AB29EF-C5DD-4F27-B829-A1252EE4094F,swift,swift,NULL
4B57D14C-66EF-4769-B271-A4E4C50DE8D8,couchdb,couchdb,NULL
09AB1C7E-6CA4-4DEC-B926-A595216A89E9,sourcetree,sourcetree,NULL
9309805C-B5F0-4F71-B6DC-A8C22A56296E,jeet,jeet,NULL
B25B98CA-C4DF-4C55-99D9-A9CDD7D4DAFB,haskell,haskell,NULL
CE0B63DE-97F0-471F-8F80-AB19C5507FE6,stylus,stylus,NULL
5A263E77-8D96-471C-952B-ABBCB9C056C1,ruby,ruby,NULL
7478F320-C57C-460B-94A2-ABBFF4E5F7BF,clojure,clojure,NULL
5F8EF9EB-7547-4563-A296-ABD8DCE728C9,firefox,firefox,NULL
820F4C43-F664-4AE0-B719-AC157FBD9FE7,zend,zend,NULL
3AB45025-F022-4F92-B4D7-AE2B77CE9418,css3,css3,NULL
D0472394-D1C5-412C-BA9B-B06C998EDC4B,jasmine,jasmine,NULL
36CB08BB-86F6-4716-A78A-B19B32681526,cplusplus,cplusplus,c++ cpp
DC2F2670-4020-4C66-A805-B5D10C49BE25,react,react,NULL
22D3E8AC-2030-43C0-BC85-B75165CB0004,java,java,NULL
42060833-E566-4E7C-9923-B980D37607E4,wordpress,wordpress,NULL
D3833D31-3A99-49A7-9E95-BAE7628EEA39,travis,travis,NULL
11D4F974-50E5-46CB-9BB7-BF2B5E6CE80F,rubymine,rubymine,NULL
CC231D35-0C39-4329-9C13-BF822DD4823A,sequelize,sequelize,NULL
90B1DCC5-D49B-40B1-8F50-C0E2005F2B8C,bitbucket,bitbucket,NULL
33645DE5-7C63-47A2-A8D9-C12F761F307B,webpack,webpack,NULL
B5390AA8-0A18-48B1-9FF1-C363B9B8C69C,yunohost,yunohost,NULL
5C240011-BD3C-42F6-981D-C3EF7195E473,bootstrap,bootstrap,NULL
0A2EDAB3-1629-4594-AFFB-C6034A8DCEDC,confluence,confluence,NULL
65882E54-2F3F-43FA-996B-C66509F851FC,yarn,yarn,NULL
7CB3443B-B787-4B02-813B-CBF340D3B861,typescript,typescript,NULL
EE63BFB4-4D8E-49EF-877A-CC624C623121,google,google,NULL
84F3E120-099D-4A71-8A1E-CE3A27D6D89C,electron,electron,NULL
8B46CEF7-D82A-4090-9FF2-CF2425F546C3,amazonwebservices,amazonwebservices,NULL
498666EA-11B9-4750-A443-D11448099EC0,gradle,gradle,NULL
216AC31F-5D9B-4BCD-946D-D218EDACEDB9,handlebars,handlebars,NULL
7607FC42-0097-43C4-A52C-D50E4C2651D4,android,android,NULL
DD703861-3884-44B4-B88D-D9FBF44A5F1D,windows8,windows8,NULL
E25E48B1-0158-45E4-BEFD-DD36DE0434FB,moodle,moodle,NULL
2166E59A-D35D-459E-B641-DF4B5D98E216,linux,linux,NULL
1EFF11BC-7728-4B6F-93A4-E0A80A9B794A,babel,babel,NULL
6CC117F8-26CD-4382-A4A4-E468DF57DD52,facebook,facebook,NULL
5F60D39A-EB86-477C-A795-E695DBB88851,nodewebkit,nodewebkit,NULL
DAB08D27-B897-4147-897A-EA4120816566,angularjs,angularjs,NULL
B8D3DF03-0AE2-4461-BFFF-EC698955EC0B,express,express,NULL
49776481-E2FF-4042-A874-EF98ECFECA45,cakephp,cakephp,NULL
ED2E9D9D-0A8E-4867-A474-F11064C38E95,behance,behance,NULL
3519646A-6271-4063-B107-F15A7E73C146,less,less,NULL
75F43C0B-CDEA-448C-8C43-F4D926BB4EDD,illustrator,illustrator,NULL
43A56DD0-7D65-4A5F-BC2B-F5DC7587857B,redhat,redhat,NULL
D44CFF5D-4880-40F8-B568-F864D5012B31,python,python,NULL
D14EACB1-3F2D-419A-B687-F8AC45225C35,coffeescript,coffeescript,NULL
E38D1EDE-55FE-466E-A84D-FB1D1EDA6FDD,tomcat,tomcat,NULL
14588D6E-C273-4F5B-9084-FD02191BE8B2,chrome,chrome,NULL
